timestamp,event,ip,user,message,severity
2026-08-01 01:38:33,LOGIN_FAILED,192.168.1.25,admin,Authentication failed for user admin from 192.168.1.25,WARNING
2026-07-27 15:15:33,ACL_MATCH,192.168.1.14,unknown,ACL rule matched for traffic from 192.168.1.14,WARNING
2026-07-31 01:07:33,LOGIN_SUCCESS,192.168.1.3,netadmin,User netadmin logged in successfully from 192.168.1.3,INFO
2026-07-30 09:29:33,ROUTE_CHANGE,127.0.0.1,admin,System event: ROUTE_CHANGE,INFO
2026-08-02 12:41:33,LOGIN_SUCCESS,192.168.1.29,netadmin,User netadmin logged in successfully from 192.168.1.29,INFO
2026-07-30 11:27:33,LOGIN_SUCCESS,192.168.1.27,netadmin,User netadmin logged in successfully from 192.168.1.27,INFO
2026-07-30 06:41:33,LOGIN_SUCCESS,192.168.1.14,admin,User admin logged in successfully from 192.168.1.14,INFO
2026-07-30 12:20:33,ACL_MATCH,192.168.1.8,unknown,ACL rule matched for traffic from 192.168.1.8,WARNING
2026-07-30 03:48:33,CONFIG_CHANGE,192.168.1.28,user1,Configuration changed by user1 from 192.168.1.28,CRITICAL
2026-07-30 16:49:33,CONFIG_CHANGE,192.168.1.2,netadmin,Configuration changed by netadmin from 192.168.1.2,CRITICAL
2026-07-28 10:14:33,CONFIG_CHANGE,192.168.1.8,user1,Configuration changed by user1 from 192.168.1.8,CRITICAL
2026-07-30 20:37:33,ROUTE_CHANGE,127.0.0.1,netadmin,System event: ROUTE_CHANGE,INFO
2026-07-28 03:03:33,CONFIG_CHANGE,192.168.1.17,admin,Configuration changed by admin from 192.168.1.17,CRITICAL
2026-07-31 00:40:33,LOGIN_SUCCESS,192.168.1.16,netadmin,User netadmin logged in successfully from 192.168.1.16,INFO
2026-08-01 21:06:33,ACL_MATCH,192.168.1.13,admin,ACL rule matched for traffic from 192.168.1.13,WARNING
2026-07-29 09:56:33,LOGIN_SUCCESS,192.168.1.25,netadmin,User netadmin logged in successfully from 192.168.1.25,INFO
2026-07-31 18:17:33,LOGIN_SUCCESS,192.168.1.8,netadmin,User netadmin logged in successfully from 192.168.1.8,INFO
2026-08-01 09:48:33,ROUTE_CHANGE,127.0.0.1,admin,System event: ROUTE_CHANGE,INFO
2026-07-30 18:45:33,LOGIN_SUCCESS,192.168.1.23,admin,User admin logged in successfully from 192.168.1.23,INFO
2026-07-29 09:02:33,ACL_MATCH,192.168.1.16,admin,ACL rule matched for traffic from 192.168.1.16,WARNING
2026-07-30 19:47:33,ROUTE_CHANGE,127.0.0.1,admin,System event: ROUTE_CHANGE,INFO
2026-08-02 01:58:33,CONFIG_CHANGE,192.168.1.10,root,Configuration changed by root from 192.168.1.10,CRITICAL
2026-07-30 12:03:33,LOGIN_SUCCESS,192.168.1.5,admin,User admin logged in successfully from 192.168.1.5,INFO
2026-07-27 16:13:33,LOGIN_SUCCESS,192.168.1.21,admin,User admin logged in successfully from 192.168.1.21,INFO
2026-07-27 13:28:33,ACL_MATCH,192.168.1.7,admin,ACL rule matched for traffic from 192.168.1.7,WARNING
2026-08-01 08:11:33,LOGIN_FAILED,192.168.1.15,user1,Authentication failed for user user1 from 192.168.1.15,WARNING
2026-07-28 02:30:33,ACL_MATCH,192.168.1.10,unknown,ACL rule matched for traffic from 192.168.1.10,WARNING
2026-07-27 16:41:33,ACL_MATCH,192.168.1.25,user1,ACL rule matched for traffic from 192.168.1.25,WARNING
2026-07-27 07:25:33,INTERFACE_DOWN,127.0.0.1,root,System event: INTERFACE_DOWN,INFO
2026-08-02 09:17:33,INTERFACE_DOWN,127.0.0.1,root,System event: INTERFACE_DOWN,INFO
2026-07-30 04:53:33,ROUTE_CHANGE,127.0.0.1,netadmin,System event: ROUTE_CHANGE,INFO
2026-07-29 07:28:33,CONFIG_CHANGE,192.168.1.2,admin,Configuration changed by admin from 192.168.1.2,CRITICAL
2026-07-28 12:56:33,LOGIN_SUCCESS,192.168.1.28,admin,User admin logged in successfully from 192.168.1.28,INFO
2026-07-29 08:33:33,CONFIG_CHANGE,192.168.1.21,root,Configuration changed by root from 192.168.1.21,CRITICAL
2026-07-29 07:24:33,INTERFACE_DOWN,127.0.0.1,admin,System event: INTERFACE_DOWN,INFO
2026-08-01 16:31:33,CONFIG_CHANGE,192.168.1.25,unknown,Configuration changed by unknown from 192.168.1.25,CRITICAL
2026-07-29 05:01:33,CONFIG_CHANGE,192.168.1.23,netadmin,Configuration changed by netadmin from 192.168.1.23,CRITICAL
2026-07-30 15:32:33,INTERFACE_DOWN,127.0.0.1,admin,System event: INTERFACE_DOWN,INFO
2026-08-01 03:36:33,CONFIG_CHANGE,192.168.1.29,admin,Configuration changed by admin from 192.168.1.29,CRITICAL
2026-07-31 07:16:33,LOGIN_SUCCESS,192.168.1.13,admin,User admin logged in successfully from 192.168.1.13,INFO
2026-08-02 19:09:33,INTERFACE_DOWN,127.0.0.1,user1,System event: INTERFACE_DOWN,INFO
2026-08-01 21:21:33,LOGIN_SUCCESS,192.168.1.1,admin,User admin logged in successfully from 192.168.1.1,INFO
2026-07-29 15:25:33,CONFIG_CHANGE,192.168.1.23,user1,Configuration changed by user1 from 192.168.1.23,CRITICAL
2026-07-28 14:15:33,CONFIG_CHANGE,192.168.1.12,root,Configuration changed by root from 192.168.1.12,CRITICAL
2026-07-27 01:36:33,INTERFACE_DOWN,127.0.0.1,admin,System event: INTERFACE_DOWN,INFO
2026-08-01 04:36:33,INTERFACE_DOWN,127.0.0.1,unknown,System event: INTERFACE_DOWN,INFO
2026-07-29 20:37:33,LOGIN_SUCCESS,192.168.1.18,admin,User admin logged in successfully from 192.168.1.18,INFO
2026-07-31 02:41:33,INTERFACE_DOWN,127.0.0.1,netadmin,System event: INTERFACE_DOWN,INFO
2026-07-27 15:13:33,ACL_MATCH,192.168.1.12,unknown,ACL rule matched for traffic from 192.168.1.12,WARNING
2026-08-01 15:14:33,LOGIN_FAILED,185.220.101.45,root,Authentication failed for user root from 185.220.101.45,WARNING
2026-07-27 11:58:33,LOGIN_FAILED,192.168.1.20,netadmin,Authentication failed for user netadmin from 192.168.1.20,WARNING
2026-08-01 21:21:33,ROUTE_CHANGE,127.0.0.1,unknown,System event: ROUTE_CHANGE,INFO
2026-07-31 20:56:33,LOGIN_SUCCESS,192.168.1.28,admin,User admin logged in successfully from 192.168.1.28,INFO
2026-07-30 17:25:33,INTERFACE_DOWN,127.0.0.1,root,System event: INTERFACE_DOWN,INFO
2026-07-29 13:31:33,CONFIG_CHANGE,192.168.1.7,unknown,Configuration changed by unknown from 192.168.1.7,CRITICAL
2026-08-02 07:13:33,INTERFACE_DOWN,127.0.0.1,netadmin,System event: INTERFACE_DOWN,INFO
2026-08-01 17:51:33,LOGIN_FAILED,192.168.1.21,user1,Authentication failed for user user1 from 192.168.1.21,WARNING
2026-08-02 21:06:33,LOGIN_FAILED,192.168.1.27,user1,Authentication failed for user user1 from 192.168.1.27,WARNING
2026-07-27 20:50:33,ROUTE_CHANGE,127.0.0.1,user1,System event: ROUTE_CHANGE,INFO
2026-07-31 20:01:33,ACL_MATCH,192.168.1.11,netadmin,ACL rule matched for traffic from 192.168.1.11,WARNING
2026-08-02 03:33:33,CONFIG_CHANGE,192.168.1.24,user1,Configuration changed by user1 from 192.168.1.24,CRITICAL
2026-07-29 04:17:33,LOGIN_SUCCESS,192.168.1.4,admin,User admin logged in successfully from 192.168.1.4,INFO
2026-07-28 15:06:33,LOGIN_FAILED,192.168.1.26,netadmin,Authentication failed for user netadmin from 192.168.1.26,WARNING
2026-08-01 02:12:33,CONFIG_CHANGE,192.168.1.8,user1,Configuration changed by user1 from 192.168.1.8,CRITICAL
