timestamp,src_ip,dst_ip,src_port,dst_port,protocol,action,bytes,rule_id,interface
2026-07-28 12:36:33,192.168.1.1,203.109.125.114,26172,53,HTTPS,ALLOW,69328,RULE_22,eth1
2026-07-28 17:23:33,192.168.1.39,203.172.218.2,31885,80,HTTPS,ALLOW,83155,RULE_16,eth1
2026-07-30 08:56:33,91.108.4.1,192.168.1.42,22911,22,SSH,DENY,0,RULE_14,eth1
2026-07-30 08:56:33,91.108.4.1,192.168.1.42,63323,22,SSH,DENY,0,RULE_74,eth1
2026-07-30 08:56:33,91.108.4.1,192.168.1.42,47017,22,SSH,DENY,0,RULE_48,eth1
2026-07-30 08:56:33,91.108.4.1,192.168.1.42,27157,22,SSH,DENY,0,RULE_94,eth0
2026-07-30 08:56:33,91.108.4.1,192.168.1.42,32872,22,SSH,DENY,0,RULE_62,eth0
2026-07-30 08:56:33,91.108.4.1,192.168.1.42,21385,22,SSH,DENY,0,RULE_7,eth1
2026-07-30 08:56:33,91.108.4.1,192.168.1.42,2299,22,SSH,DENY,0,RULE_69,eth1
2026-07-30 08:56:33,91.108.4.1,192.168.1.42,19645,22,SSH,DENY,0,RULE_97,wan0
2026-07-30 08:56:33,91.108.4.1,192.168.1.42,62414,22,SSH,DENY,0,RULE_14,eth0
2026-07-30 08:56:33,91.108.4.1,192.168.1.42,61249,22,SSH,DENY,0,RULE_33,eth0
2026-07-30 08:56:33,91.108.4.1,192.168.1.42,48210,22,SSH,DENY,0,RULE_65,eth0
2026-07-30 08:56:33,91.108.4.1,192.168.1.42,47690,22,SSH,DENY,0,RULE_58,eth1
2026-07-29 21:04:33,192.168.1.34,203.236.100.106,51844,80,DNS,ALLOW,52989,RULE_43,eth1
2026-07-27 18:49:33,192.168.1.32,203.146.240.101,12710,53,HTTP,ALLOW,62794,RULE_42,wan0
2026-07-30 19:32:33,192.168.1.49,203.172.218.2,20631,53,HTTPS,ALLOW,74685,RULE_30,wan0
2026-07-27 14:36:33,192.168.1.5,203.172.218.2,64850,53,DNS,ALLOW,60957,RULE_97,eth1
2026-07-28 11:20:33,45.142.212.100,192.168.1.1,42001,443,TCP,DENY,2341,RULE_30,wan0
2026-07-31 09:48:33,91.108.4.1,192.168.1.44,26514,443,TCP,DENY,18217,RULE_46,wan0
2026-07-28 19:58:33,192.168.1.26,203.88.27.209,33418,80,DNS,ALLOW,85376,RULE_11,eth0
2026-07-26 22:58:33,192.168.1.30,203.28.64.137,29118,443,HTTPS,ALLOW,55475,RULE_69,eth1
2026-08-02 11:48:33,192.168.1.44,203.216.33.123,19839,443,HTTPS,ALLOW,1840905148,RULE_56,wan0
2026-08-02 11:53:33,192.168.1.44,203.44.10.127,65116,443,HTTPS,ALLOW,81209,RULE_78,eth1
2026-07-30 09:48:33,192.168.1.10,203.44.10.127,61900,80,DNS,ALLOW,65709,RULE_7,wan0
2026-07-31 02:45:33,192.168.1.49,203.19.78.143,5482,53,HTTP,ALLOW,87632,RULE_8,eth0
2026-07-30 21:05:33,192.168.1.21,203.230.29.52,63815,135,TCP,DENY,289,RULE_17,eth1
2026-07-29 20:18:33,194.165.16.72,192.168.1.42,31229,22,TCP,DENY,9271,RULE_79,eth0
2026-08-02 11:09:33,192.168.1.43,203.191.193.191,16355,135,TCP,DENY,183,RULE_68,eth1
2026-07-29 16:14:33,192.168.1.21,91.108.4.1,29507,4444,TCP,DENY,1937,RULE_28,eth0
2026-08-02 20:08:33,192.168.1.35,203.109.125.114,36578,23,TCP,DENY,410,RULE_65,eth1
2026-07-31 07:00:33,185.220.101.45,192.168.1.48,4720,443,TCP,DROP,45786,RULE_85,wan0
2026-07-27 03:41:33,192.168.1.21,203.90.218.241,28431,53,HTTP,ALLOW,70422,RULE_17,wan0
2026-08-02 16:22:33,192.168.1.44,203.245.29.138,22476,80,DNS,ALLOW,56522,RULE_40,wan0
2026-08-02 07:03:33,185.220.101.45,192.168.1.4,19772,80,TCP,DENY,14153,RULE_18,eth1
2026-08-02 05:24:33,192.168.1.5,203.191.193.191,52655,443,HTTP,ALLOW,2155,RULE_33,eth0
2026-07-30 19:45:33,192.168.1.39,185.220.101.45,46942,1337,TCP,DENY,610,RULE_93,eth1
2026-07-27 05:19:33,192.168.1.42,203.44.10.127,15023,443,HTTPS,ALLOW,46446,RULE_2,eth1
2026-07-31 00:18:33,192.168.1.20,203.65.2.70,20812,443,HTTPS,ALLOW,85230,RULE_87,wan0
2026-08-02 19:38:33,192.168.1.9,45.142.212.100,7870,4444,TCP,DENY,1031,RULE_30,wan0
2026-08-01 12:42:33,192.168.1.28,203.191.193.191,64473,80,DNS,ALLOW,67787,RULE_6,wan0
2026-08-01 09:51:33,192.168.1.2,203.199.64.156,30579,135,TCP,DENY,150,RULE_31,wan0
2026-07-30 17:46:33,192.168.1.33,203.19.78.143,5124,53,HTTPS,ALLOW,7979,RULE_32,wan0
2026-08-02 22:19:33,192.168.1.9,203.236.100.106,12287,80,HTTP,ALLOW,1933,RULE_34,wan0
2026-08-02 17:42:33,192.168.1.19,203.28.64.137,28616,53,DNS,ALLOW,37947,RULE_68,eth0
2026-07-31 22:09:33,192.168.1.10,203.236.100.106,9968,443,HTTP,ALLOW,5995,RULE_13,eth0
2026-07-29 04:57:33,192.168.1.21,203.109.125.114,28388,53,HTTP,ALLOW,96192,RULE_97,eth1
2026-07-27 04:51:33,192.168.1.43,203.236.100.106,54075,443,DNS,ALLOW,83799,RULE_59,wan0
2026-07-31 16:42:33,185.220.101.45,192.168.1.32,34485,22,SSH,DENY,0,RULE_92,eth1
2026-07-31 16:42:33,185.220.101.45,192.168.1.32,9172,22,SSH,DENY,0,RULE_4,eth1
2026-07-31 16:42:33,185.220.101.45,192.168.1.32,34461,22,SSH,DENY,0,RULE_4,eth1
2026-07-31 16:42:33,185.220.101.45,192.168.1.32,59988,22,SSH,DENY,0,RULE_69,eth1
2026-07-31 16:42:33,185.220.101.45,192.168.1.32,49594,22,SSH,DENY,0,RULE_13,eth0
2026-07-31 16:42:33,185.220.101.45,192.168.1.32,35407,22,SSH,DENY,0,RULE_30,wan0
2026-07-31 16:42:33,185.220.101.45,192.168.1.32,55169,22,SSH,DENY,0,RULE_59,eth0
2026-07-31 16:42:33,185.220.101.45,192.168.1.32,27282,22,SSH,DENY,0,RULE_96,eth0
2026-07-31 16:42:33,185.220.101.45,192.168.1.32,26481,22,SSH,DENY,0,RULE_89,wan0
2026-07-31 16:42:33,185.220.101.45,192.168.1.32,17042,22,SSH,DENY,0,RULE_39,eth0
2026-07-31 16:42:33,185.220.101.45,192.168.1.32,5770,22,SSH,DENY,0,RULE_35,eth1
2026-07-31 16:42:33,185.220.101.45,192.168.1.32,49305,22,SSH,DENY,0,RULE_36,eth0
2026-07-31 16:42:33,185.220.101.45,192.168.1.32,47200,22,SSH,DENY,0,RULE_52,eth0
2026-07-31 16:42:33,185.220.101.45,192.168.1.32,12353,22,SSH,DENY,0,RULE_32,eth1
2026-07-31 16:42:33,185.220.101.45,192.168.1.32,22390,22,SSH,DENY,0,RULE_37,eth0
2026-07-31 16:42:33,185.220.101.45,192.168.1.32,12621,22,SSH,DENY,0,RULE_53,eth1
2026-07-31 16:42:33,185.220.101.45,192.168.1.32,53587,22,SSH,DENY,0,RULE_34,eth0
2026-07-31 06:20:33,192.168.1.6,203.65.2.70,15339,443,HTTP,ALLOW,1036,RULE_8,wan0
2026-08-02 17:47:33,192.168.1.22,203.251.61.114,44501,53,DNS,ALLOW,3847,RULE_6,wan0
2026-07-29 18:17:33,192.168.1.32,203.200.151.51,50303,443,HTTPS,ALLOW,42928,RULE_15,eth0
2026-07-30 00:58:33,192.168.1.15,203.1.58.199,46016,443,HTTPS,ALLOW,954100038,RULE_73,wan0
2026-07-27 05:13:33,192.168.1.10,203.44.10.127,41186,80,HTTPS,ALLOW,15488,RULE_53,eth0
2026-08-02 05:38:33,192.168.1.14,203.251.61.114,34306,443,HTTPS,ALLOW,1870982628,RULE_25,eth0
2026-07-30 06:30:33,192.168.1.20,203.172.218.2,14349,443,HTTP,ALLOW,8164,RULE_46,wan0
2026-07-29 03:14:33,194.165.16.72,192.168.1.33,53204,443,TCP,DENY,38608,RULE_98,wan0
2026-07-30 03:17:33,192.168.1.41,203.216.33.123,28794,53,HTTP,ALLOW,2552,RULE_86,eth1
2026-07-31 23:38:33,192.168.1.45,203.44.10.127,31904,443,HTTPS,ALLOW,1084318238,RULE_97,eth0
2026-07-29 16:29:33,45.142.212.100,192.168.1.8,65317,22,SSH,DENY,0,RULE_95,eth0
2026-07-29 16:29:33,45.142.212.100,192.168.1.8,49563,22,SSH,DENY,0,RULE_46,eth1
2026-07-29 16:29:33,45.142.212.100,192.168.1.8,64677,22,SSH,DENY,0,RULE_87,wan0
2026-07-29 16:29:33,45.142.212.100,192.168.1.8,55399,22,SSH,DENY,0,RULE_9,eth0
2026-07-29 16:29:33,45.142.212.100,192.168.1.8,16164,22,SSH,DENY,0,RULE_45,eth0
2026-07-29 16:29:33,45.142.212.100,192.168.1.8,12299,22,SSH,DENY,0,RULE_90,eth1
2026-07-29 16:29:33,45.142.212.100,192.168.1.8,33892,22,SSH,DENY,0,RULE_27,eth1
2026-07-29 16:29:33,45.142.212.100,192.168.1.8,19544,22,SSH,DENY,0,RULE_86,wan0
2026-07-29 16:29:33,45.142.212.100,192.168.1.8,39579,22,SSH,DENY,0,RULE_91,wan0
2026-07-31 13:57:33,192.168.1.37,203.199.64.156,37200,53,HTTP,ALLOW,1501,RULE_97,eth0
2026-07-30 02:23:33,192.168.1.41,203.214.77.121,40166,135,TCP,DENY,677,RULE_88,eth0
2026-07-26 00:52:33,192.168.1.23,203.65.2.70,38500,443,HTTP,ALLOW,9621,RULE_73,eth1
2026-07-28 06:50:33,192.168.1.24,185.220.101.45,20500,31337,TCP,DENY,3057,RULE_30,eth1
2026-07-29 07:33:33,192.168.1.2,203.216.33.123,6914,443,HTTP,ALLOW,3587,RULE_81,eth1
2026-08-01 20:47:33,192.168.1.5,203.19.78.143,29351,53,HTTP,ALLOW,43373,RULE_87,wan0
2026-07-30 14:43:33,192.168.1.37,203.90.218.241,10839,80,DNS,ALLOW,7989,RULE_92,eth1
2026-08-02 05:22:33,45.142.212.100,192.168.1.46,15502,22,SSH,DENY,0,RULE_27,eth1
2026-08-02 05:22:33,45.142.212.100,192.168.1.46,53478,22,SSH,DENY,0,RULE_93,eth1
2026-08-02 05:22:33,45.142.212.100,192.168.1.46,65135,22,SSH,DENY,0,RULE_45,eth0
2026-08-02 05:22:33,45.142.212.100,192.168.1.46,51546,22,SSH,DENY,0,RULE_17,eth1
2026-08-02 05:22:33,45.142.212.100,192.168.1.46,34944,22,SSH,DENY,0,RULE_21,eth1
2026-08-02 05:22:33,45.142.212.100,192.168.1.46,52913,22,SSH,DENY,0,RULE_82,eth0
2026-08-02 05:22:33,45.142.212.100,192.168.1.46,23069,22,SSH,DENY,0,RULE_93,wan0
2026-08-02 05:22:33,45.142.212.100,192.168.1.46,61468,22,SSH,DENY,0,RULE_17,eth1
2026-08-02 05:22:33,45.142.212.100,192.168.1.46,35650,22,SSH,DENY,0,RULE_32,wan0
2026-08-02 05:22:33,45.142.212.100,192.168.1.46,55115,22,SSH,DENY,0,RULE_47,eth0
2026-08-02 05:22:33,45.142.212.100,192.168.1.46,35909,22,SSH,DENY,0,RULE_12,eth1
2026-08-02 05:22:33,45.142.212.100,192.168.1.46,60074,22,SSH,DENY,0,RULE_55,eth0
2026-08-02 05:22:33,45.142.212.100,192.168.1.46,59372,22,SSH,DENY,0,RULE_66,eth1
2026-08-02 05:22:33,45.142.212.100,192.168.1.46,39736,22,SSH,DENY,0,RULE_81,wan0
2026-07-29 19:42:33,192.168.1.27,203.199.64.156,19012,80,HTTP,ALLOW,7611,RULE_71,eth0
2026-07-31 08:24:33,192.168.1.40,203.28.64.137,7885,80,DNS,ALLOW,41518,RULE_56,eth1
2026-07-29 07:26:33,91.108.4.1,192.168.1.41,6484,80,TCP,DENY,14654,RULE_5,wan0
2026-07-29 15:58:33,192.168.1.26,203.90.218.241,58293,3389,TCP,DENY,823,RULE_41,wan0
2026-07-27 06:30:33,192.168.1.47,203.28.64.137,45296,80,HTTP,ALLOW,6738,RULE_61,eth0
